distid,schoolid_stateassigned,distname,schoolname,enroll_raw_TX,pp_stloc_raw_TX
101902,101902153,ALDINE ISD,HINOJOSA EC/PK/K,766,7024.427501
101902,101902046,ALDINE ISD,HOFFMAN MIDDLE,1027,12758.69918
101902,101902062,ALDINE ISD,HOUSTON ACADEMY,556,8899.186682
101902,101902116,ALDINE ISD,JOHNSON EL,710,8081.927071
101902,101902165,ALDINE ISD,JONES EC/PK/K,888,7093.720279
101902,101902134,ALDINE ISD,JONES EL,813,7162.480597
101902,101902054,ALDINE ISD,JONES MIDDLE,1265,6940.785257
101902,101902151,ALDINE ISD,KEEBLE EC/PK/K,783,6535.851561
101902,101902164,ALDINE ISD,KUJAWA EC/PK/K,802,7875.433179
101902,101902130,ALDINE ISD,KUJAWA EL,681,8149.04689
101902,101902108,ALDINE ISD,LANE SCHOOL,123,45128.54315
101902,101902052,ALDINE ISD,LEWIS MIDDLE,1141,7742.838631
101902,101902003,ALDINE ISD,MACARTHUR H S,2826,7237.134667
101902,101902083,ALDINE ISD,MACARTHUR NINTH GRADE,918,7363.802354
101902,101902162,ALDINE ISD,MAGRILL EC/PK/K,729,7497.696649
101902,101902145,ALDINE ISD,MARCELLA EL,638,7757.594566
101902,101902055,ALDINE ISD,MEAD MIDDLE,1202,7040.540307
101902,101902005,ALDINE ISD,NIMITZ H S,1932,7884.428039
101902,101902085,ALDINE ISD,NIMITZ NINTH GRADE,681,8752.707683
101902,101902115,ALDINE ISD,ODOM EL,456,8493.417292
101902,101902146,ALDINE ISD,OGDEN EL,665,7570.830512
101902,101902111,ALDINE ISD,OLESON EL,735,7284.929045
101902,101902112,ALDINE ISD,ORANGE GROVE EL,804,7240.82679
101902,101902140,ALDINE ISD,PARKER EL,625,7762.735499
101902,101902051,ALDINE ISD,PLUMMER MIDDLE,1120,7375.514206
101902,101902113,ALDINE ISD,RAYMOND EL,672,7493.181468
101902,101902104,ALDINE ISD,REECE ACADEMY,466,9456.956944
101902,101902143,ALDINE ISD,REED ACADEMY,837,7235.534872
101902,101902118,ALDINE ISD,SAMMONS EL,524,8094.350213
101902,101902047,ALDINE ISD,SHOTWELL MIDDLE,1193,7708.292928
101902,101902114,ALDINE ISD,SMITH EL,641,7697.111277
101902,101902132,ALDINE ISD,SPENCE EL,656,7438.056867
101902,101902139,ALDINE ISD,STEHLIK EL,692,7965.500359
101902,101902119,ALDINE ISD,STEPHENS EL,669,7902.348208
101902,101902167,ALDINE ISD,STOVALL EC/PK/K,561,8276.080429
101902,101902044,ALDINE ISD,STOVALL MIDDLE,1016,7825.218249
101902,101902045,ALDINE ISD,TEAGUE MIDDLE,1268,7426.271566
101902,101902117,ALDINE ISD,THOMPSON EL,571,7846.365624
101902,101902166,ALDINE ISD,VARDEMAN EC/PK/K,743,6760.751236
101902,101902008,ALDINE ISD,VICTORY EARLY COLLEGE H S,399,8047.467104
101902,101902154,ALDINE ISD,VINES EC/PK/K,624,6791.838176
101902,101902142,ALDINE ISD,WILSON EL,440,9167.562826
101902,101902110,ALDINE ISD,WORSHAM EL,679,7673.956704
184907,184907001,ALEDO ISD,ALEDO H S,1316,9894.815493
184907,184907041,ALEDO ISD,ALEDO MIDDLE,943,7555.327577
184907,184907102,ALEDO ISD,CODER EL,498,8938.711405
184907,184907009,ALEDO ISD,DON R DANIEL NINTH GRADE CAMPUS,466,7252.45068
184907,184907110,ALEDO ISD,MCANALLY INT,519,7897.795127
184907,184907104,ALEDO ISD,MCCALL EL,667,7830.944171
184907,184907103,ALEDO ISD,STUARD EL,591,8055.223372
184907,184907101,ALEDO ISD,VANDAGRIFF EL,627,8057.245109
184907,184907105,ALEDO ISD,WALSH EL,473,8227.227231
125901,125901043,ALICE ISD,ADAMS MIDDLE,761,7510.867852
125901,125901001,ALICE ISD,ALICE H S,1284,9536.104991
125901,125901041,ALICE ISD,DUBOSE INT,416,7065.321247
125901,125901112,ALICE ISD,GARCIA EARLY CHILDHOOD CENTER,NRD,NRD
125901,125901101,ALICE ISD,HILLCREST EL,311,6830.153658
125901,125901042,ALICE ISD,MEMORIAL INT,371,7549.426615
125901,125901104,ALICE ISD,NOONAN EL,486,7108.229505
125901,125901105,ALICE ISD,SAENZ EL,541,6893.446061
125901,125901106,ALICE ISD,SALAZAR EL,281,7113.290194
125901,125901107,ALICE ISD,SCHALLERT EL,467,6875.613816
101903,101903199,ALIEF ISD,ADMIN SERVICES,51,862461.5773
101903,101903045,ALIEF ISD,ALBRIGHT MIDDLE,1187,7637.954061
101903,101903114,ALIEF ISD,ALEXANDER EL,716,8780.818564
101903,101903012,ALIEF ISD,ALIEF EARLY COLLEGE H S,401,8437.530897
101903,101903047,ALIEF ISD,ALIEF ISD J J A E P,NRD,NRD
101903,101903005,ALIEF ISD,ALIEF LEARNING CTR (6-12),120,47514.94152
101903,101903205,ALIEF ISD,ALIEF LEARNING CTR (K-6),NRD,NRD
101903,101903041,ALIEF ISD,ALIEF MIDDLE,1003,7984.550049
101903,101903118,ALIEF ISD,BEST EL,753,9357.348256
101903,101903102,ALIEF ISD,BOONE EL,802,8689.189251
101903,101903145,ALIEF ISD,BUDEWIG INT,1337,7083.832422
101903,101903121,ALIEF ISD,BUSH EL,873,8702.186963
101903,101903104,ALIEF ISD,CHAMBERS EL,699,8772.434828
101903,101903108,ALIEF ISD,CHANCELLOR EL,950,8128.182481
101903,101903122,ALIEF ISD,COLLINS EL,928,8726.781746
101903,101903011,ALIEF ISD,CROSSROADS,58,22890.19123
101903,101903112,ALIEF ISD,CUMMINGS EL,549,9201.077354
101903,101903002,ALIEF ISD,ELSIK H S,4266,8057.902498
101903,101903001,ALIEF ISD,HASTINGS H S,3998,8404.735242
101903,101903115,ALIEF ISD,HEARNE EL,944,8372.114044
101903,101903111,ALIEF ISD,HEFLIN EL,914,7396.465166
101903,101903120,ALIEF ISD,HICKS EL,755,8605.323359
101903,101903124,ALIEF ISD,HOLMQUIST EL,1160,7744.68347
101903,101903044,ALIEF ISD,HOLUB MIDDLE,897,8288.541822
101903,101903123,ALIEF ISD,HORN EL,936,8588.285319
101903,101903107,ALIEF ISD,KENNEDY EL,727,8489.589464
101903,101903006,ALIEF ISD,KERR H S,796,8186.99005
101903,101903043,ALIEF ISD,KILLOUGH MIDDLE,998,8084.156262
101903,101903141,ALIEF ISD,KLENTZMAN INT,985,7982.294012
101903,101903116,ALIEF ISD,LANDIS EL,743,9196.951195
101903,101903109,ALIEF ISD,LIESTMAN EL,793,8773.630808
101903,101903106,ALIEF ISD,MAHANAY EL,596,8590.532064
101903,101903103,ALIEF ISD,MARTIN EL,880,8314.163486
101903,101903143,ALIEF ISD,MATA INT,875,7823.666421
101903,101903144,ALIEF ISD,MILLER INT,963,7880.85743
101903,101903046,ALIEF ISD,O'DONNELL MIDDLE,1375,7168.439304
101903,101903042,ALIEF ISD,OLLE MIDDLE,1064,8088.165075
101903,101903119,ALIEF ISD,OUTLEY EL,1164,7390.096756
101903,101903140,ALIEF ISD,OWENS INT,979,7910.841575
101903,101903110,ALIEF ISD,PETROSKY EL,581,8518.47997
101903,101903113,ALIEF ISD,REES EL,582,9695.767719
101903,101903105,ALIEF ISD,SMITH EL,826,8323.999486
101903,101903117,ALIEF ISD,SNEED EL,1086,8238.206755
101903,101903003,ALIEF ISD,TAYLOR H S,3112,7452.886867
101903,101903101,ALIEF ISD,YOUENS EL,900,8695.44096
101903,101903142,ALIEF ISD,YOUNGBLOOD INT,1057,7753.68211
101815,101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,ALIEF MONTESSORI COMMUNITY SCHOOL,305,6065.940984
