CEID,distname,SiteID,schoolname,distid,CECounty,SiteCounty,SiteISP
88,LACKLAND ISD,101,LACKLAND EL,15913,BEXAR,BEXAR,2.34
804,MEDINA VALLEY ISD,106,LUCKEY RANCH EL,163908,MEDINA,BEXAR,
804,MEDINA VALLEY ISD,42,MEDINA VALLEY MIDDLE SCHOOL,163908,MEDINA,MEDINA,38.84
804,MEDINA VALLEY ISD,43,MEDINA VALLEY LOMA ALTA MIDDLE,163908,MEDINA,MEDINA,
804,MEDINA VALLEY ISD,105,POTRANCO ELEMENTARY,163908,MEDINA,MEDINA,35.45
804,MEDINA VALLEY ISD,103,CASTROVILLE EL,163908,MEDINA,MEDINA,51.33
804,MEDINA VALLEY ISD,104,LACOSTE EL,163908,MEDINA,MEDINA,54.38
804,MEDINA VALLEY ISD,109,LUCKEY RANCH ELEMENTARY,163908,MEDINA,BEXAR,
804,MEDINA VALLEY ISD,1,MEDINA VALLEY H S,163908,MEDINA,MEDINA,37.22
85,NORTH EAST ISD,56,FRANK TEJEDA MIDDLE SCHOOL,15910,BEXAR,BEXAR,12.15
85,NORTH EAST ISD,135,HUEBNER ROAD EL,15910,BEXAR,BEXAR,17.48
85,NORTH EAST ISD,102,COKER EL,15910,BEXAR,BEXAR,29.5
85,NORTH EAST ISD,45,JACKSON MIDDLE,15910,BEXAR,BEXAR,48.56
85,NORTH EAST ISD,112,RIDGEVIEW EL,15910,BEXAR,BEXAR,65.75
85,NORTH EAST ISD,129,ENCINO PARK EL,15910,BEXAR,BEXAR,12.46
85,NORTH EAST ISD,4,ROOSEVELT H S,15910,BEXAR,BEXAR,43.21
85,NORTH EAST ISD,117,WINDCREST EL,15910,BEXAR,BEXAR,53.37
85,NORTH EAST ISD,145,CIBOLO GREEN ELEMENTARY,15910,BEXAR,BEXAR,11.24
85,NORTH EAST ISD,9,INTERNATIONAL SCHOOL OF AMERICA,15910,BEXAR,BEXAR,9.3
85,NORTH EAST ISD,121,EL DORADO EL,15910,BEXAR,BEXAR,58.96
85,NORTH EAST ISD,139,ROAN FOREST EL,15910,BEXAR,BEXAR,22.26
85,NORTH EAST ISD,48,BRADLEY MIDDLE,15910,BEXAR,BEXAR,22.24
85,NORTH EAST ISD,41,EISENHOWER MIDDLE,15910,BEXAR,BEXAR,37.48
85,NORTH EAST ISD,106,HARMONY HILLS EL,15910,BEXAR,BEXAR,57.74
85,NORTH EAST ISD,46,WHITE MIDDLE.,15910,BEXAR,BEXAR,49.91
85,NORTH EAST ISD,108,LARKSPUR EL,15910,BEXAR,BEXAR,59.5
85,NORTH EAST ISD,125,STAHL EL,15910,BEXAR,BEXAR,46.73
85,NORTH EAST ISD,113,SERNA EL,15910,BEXAR,BEXAR,67.67
85,NORTH EAST ISD,141,STUEBING RANCH ELEMENTARY,15910,BEXAR,BEXAR,35.14
85,NORTH EAST ISD,146,LAS LOMAS EL,15910,BEXAR,BEXAR,16.18
85,NORTH EAST ISD,101,CASTLE HILLS EL,15910,BEXAR,BEXAR,21.81
85,NORTH EAST ISD,130,FOX RUN EL,15910,BEXAR,BEXAR,43.92
85,NORTH EAST ISD,57,JOSE M. LOPEZ MIDDLE SCHOOL,15910,BEXAR,BEXAR,5.93
85,NORTH EAST ISD,3,CHURCHILL H S,15910,BEXAR,BEXAR,20.14
85,NORTH EAST ISD,134,LONG'S CREEK EL,15910,BEXAR,BEXAR,25.77
85,NORTH EAST ISD,116,WILSHIRE EL,15910,BEXAR,BEXAR,79.1
85,NORTH EAST ISD,105,EAST TERRELL HILLS EL,15910,BEXAR,BEXAR,63.93
85,NORTH EAST ISD,126,THOUSAND OAKS EL,15910,BEXAR,BEXAR,32.87
85,NORTH EAST ISD,49,DRISCOLL MIDDLE,15910,BEXAR,BEXAR,31.97
85,NORTH EAST ISD,8,ACADEMY OF CREATIVE ED,15910,BEXAR,BEXAR,36.67
85,NORTH EAST ISD,42,GARNER MIDDLE,15910,BEXAR,BEXAR,53.12
85,NORTH EAST ISD,120,REGENCY PLACE EL,15910,BEXAR,BEXAR,55.39
85,NORTH EAST ISD,138,ROYAL RIDGE EL,15910,BEXAR,BEXAR,39.45
85,NORTH EAST ISD,109,NORTHWOOD EL,15910,BEXAR,BEXAR,34.05
85,NORTH EAST ISD,47,WOOD MIDDLE,15910,BEXAR,BEXAR,44.34
85,NORTH EAST ISD,142,BULVERDE CREEK ELEMENTARY,15910,BEXAR,BEXAR,19.4
85,NORTH EAST ISD,124,WOODSTONE EL,15910,BEXAR,BEXAR,47.97
85,NORTH EAST ISD,2,MACARTHUR H S,15910,BEXAR,BEXAR,29.04
85,NORTH EAST ISD,119,CLEAR SPRING EL,15910,BEXAR,BEXAR,66.84
85,NORTH EAST ISD,147,VINEYARD RANCH EL,15910,BEXAR,BEXAR,8.29
85,NORTH EAST ISD,43,KRUEGER MIDDLE,15910,BEXAR,BEXAR,52.97
85,NORTH EAST ISD,131,OAK MEADOW EL,15910,BEXAR,BEXAR,28.01
85,NORTH EAST ISD,114,WALZEM EL,15910,BEXAR,BEXAR,66.97
85,NORTH EAST ISD,58,HARRIS MIDDLE,15910,BEXAR,BEXAR,30.01
85,NORTH EAST ISD,59,HILL MIDDLE SCHOOL,15910,BEXAR,BEXAR,12.08
85,NORTH EAST ISD,143,WILDERNESS OAK ELEMENTARY,15910,BEXAR,BEXAR,5.91
85,NORTH EAST ISD,12,ALTER H S,15910,BEXAR,BEXAR,57.24
85,NORTH EAST ISD,110,OAK GROVE EL,15910,BEXAR,BEXAR,75.98
85,NORTH EAST ISD,127,NORTHERN HILLS EL,15910,BEXAR,BEXAR,54.68
85,NORTH EAST ISD,50,BUSH MIDDLE,15910,BEXAR,BEXAR,9.48
85,NORTH EAST ISD,133,STONE OAK EL,15910,BEXAR,BEXAR,14.77
85,NORTH EAST ISD,104,DELLVIEW EL,15910,BEXAR,BEXAR,59.49
85,NORTH EAST ISD,137,WETMORE EL,15910,BEXAR,BEXAR,31.46
85,NORTH EAST ISD,7,REAGAN H S,15910,BEXAR,BEXAR,7.16
85,NORTH EAST ISD,123,HIDDEN FOREST EL,15910,BEXAR,BEXAR,15.81
85,NORTH EAST ISD,1,LEE H S,15910,BEXAR,BEXAR,40.94
85,NORTH EAST ISD,136,HARDY OAK EL,15910,BEXAR,BEXAR,5.73
85,NORTH EAST ISD,118,CAMELOT EL,15910,BEXAR,BEXAR,71.21
85,NORTH EAST ISD,103,COLONIAL HILLS EL,15910,BEXAR,BEXAR,71.37
85,NORTH EAST ISD,53,ALTERNATIVE MIDDLE,15910,BEXAR,BEXAR,77
85,NORTH EAST ISD,44,NIMITZ MIDDLE,15910,BEXAR,BEXAR,51.72
85,NORTH EAST ISD,128,REDLAND OAKS EL,15910,BEXAR,BEXAR,25.89
85,NORTH EAST ISD,115,WEST AVENUE EL,15910,BEXAR,BEXAR,78.96
85,NORTH EAST ISD,144,TUSCANY HEIGHTS ELEMENTARY,15910,BEXAR,BEXAR,9.74
85,NORTH EAST ISD,14,CLAUDIA TAYLOR JOHNSON HIGH SCHOOL,15910,BEXAR,BEXAR,9.33
85,NORTH EAST ISD,111,OLMOS EL,15910,BEXAR,BEXAR,70.29
85,NORTH EAST ISD,107,JACKSON-KELLER EL,15910,BEXAR,BEXAR,74.46
85,NORTH EAST ISD,5,MADISON H S,15910,BEXAR,BEXAR,25.52
85,NORTH EAST ISD,122,MONTGOMERY EL,15910,BEXAR,BEXAR,79.96
85,NORTH EAST ISD,140,CANYON RIDGE ELEMENTARY,15910,BEXAR,BEXAR,12.08
