,distid_nerds,schoolid_stateassigned,distname_nerds,schoolname_nerds,enroll_raw_TX,pp_stloc_raw_TX,CEID,distname_ed,SiteID,schoolname_ed,distid_ed,CECounty,SiteCounty,SiteISP,school_id
56,15914.0,15914101,FT SAM HOUSTON ISD,FT SAM HOUSTON EL,869,13047.49566,89,FT SAM HOUSTON ISD,101,FT SAM HOUSTON EL,15914,BEXAR,BEXAR,3.96,15914101
57,,,,,,,79,HARLANDALE ISD,46,HISD BOOT DAEP MS,15904,BEXAR,BEXAR,80.0,15904046
58,15904.0,15904103,HARLANDALE ISD,COLLIER EL,491,9350.3393,79,HARLANDALE ISD,103,COLLIER EL,15904,BEXAR,BEXAR,73.91,15904103
59,15904.0,15904010,HARLANDALE ISD,FENLEY TRANSITIONAL H S,9,70472.92676,79,HARLANDALE ISD,10,FENLEY TRANSITIONAL HIGH,15904,BEXAR,BEXAR,57.14,15904010
60,15904.0,15904043,HARLANDALE ISD,TERRELL WELLS MIDDLE,708,9875.37262,79,HARLANDALE ISD,43,TERRELL WELLS MIDDLE,15904,BEXAR,BEXAR,56.99,15904043
61,15904.0,15904108,HARLANDALE ISD,H W SCHULZE EL,734,8942.886648,79,HARLANDALE ISD,108,H W SCHULZE EL,15904,BEXAR,BEXAR,64.53,15904108
62,15904.0,15904047,HARLANDALE ISD,FENLEY TRANSITIONAL MIDDLE,5,16983.03787,79,HARLANDALE ISD,47,FENLY TRANSITIONAL MIDDLE,15904,BEXAR,BEXAR,40.0,15904047
63,15904.0,15904104,HARLANDALE ISD,COLUMBIA HEIGHTS EL,414,10446.6828,79,HARLANDALE ISD,104,COLUMBIA HEIGHTS ELEMENTARY,15904,BEXAR,BEXAR,62.87,15904104
64,15904.0,15904048,HARLANDALE ISD,TEJEDA JUNIOR ACADEMY,NRD,NRD,79,HARLANDALE ISD,48,TEJEDA JUNIOR ACADEMY,15904,BEXAR,BEXAR,68.42,15904048
65,15904.0,15904114,HARLANDALE ISD,WRIGHT EL,497,8846.086164,79,HARLANDALE ISD,114,WRIGHT EL,15904,BEXAR,BEXAR,71.62,15904114
66,15904.0,15904107,HARLANDALE ISD,GILLETTE EL,588,9026.951139,79,HARLANDALE ISD,107,GILLETTE EL,15904,BEXAR,BEXAR,72.64,15904107
67,,,,,,,79,HARLANDALE ISD,8,HISD BOOT DAEP HS,15904,BEXAR,BEXAR,80.0,15904008
68,15904.0,15904042,HARLANDALE ISD,A LEAL JR MIDDLE,771,10491.24799,79,HARLANDALE ISD,42,A LEAL JR MIDDLE,15904,BEXAR,BEXAR,58.61,15904042
